model,none,low,high,none干净样本和对抗样本，low =原图的高斯模糊vs对抗图的高斯模糊
resnet18,13,66,20.5,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
resnet34,12.5,64,19,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
resnet50,9.5,67.5,12.5,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
resnet101,14.5,69,12,
resnet152,13,75.5,16,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
resnext50_32x4d,11,63.5,10.5,
resnext101_32x8d,18.5,63.5,14,
resnext101_64x4d,43.5,60,6.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
wide_resnet50_2,13.5,68,21.5,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
wide_resnet101_2,10.5,69.5,13.5,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
convnext_tiny,35,49,4.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
convnext_small,46,44,5.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
convnext_base,47.5,69.5,7,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
convnext_large,47,53,14,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
densenet121,19.5,68,6,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
densenet161,16,73,9,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
densenet169,19.5,65,10,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
densenet201,26,72.5,9.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
vit_b_16,44.5,54.5,9,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
vit_b_32,53.5,56,22.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
vit_l_16,55,55,17,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
vit_l_32,62,63,43.5,high如果能稳住，说明模型看重高频，已经去均值化了
swin_t,45,46.5,7,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
swin_s,49,41.5,15,
swin_b,50.5,52.5,13,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
swin_v2_t,40,58.5,5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
swin_v2_s,48,52,9.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
swin_v2_b,45.5,54.5,11.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
maxvit_t,60.5,59,14.5,
inception_v3,23.5,67.5,14,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
squeezenet1_0,17,61.5,21.5,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
squeezenet1_1,25.5,76,29.5,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
mobilenet_v2,6.5,69.5,9,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
mobilenet_v3_small,24.5,69.5,15,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
mobilenet_v3_large,20.5,59.5,10.5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
shufflenet_v2_x0_5,20,77.5,24,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
shufflenet_v2_x1_0,15,64.5,21.5,只取低频就能稳住稳定性，添加高频信息对分类锦上添花，看重低频
shufflenet_v2_x1_5,25,60,5,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
shufflenet_v2_x2_0,29.5,60,3,只取低频信息等于去掉高频信息，掉分掉的很快，说明高频的丢失对它影响很大，所以它看重高频
